"Interested","Fseen","FlightsCount","EngType","PicY","Lat","InHg","AltT","TrkH","PosTime","TimeAdded","Cou","PicX","OpIcao","Dst","Vsi","Tag","Icao","Rcvr","Alt","Species","Year","WTC","Mdl","Bad","PosStale","HasPic","From","Call","Source","Sqk","SpdTyp","HasSig","Mlat","Trak","Type","CMsgs","CNum","Gnd","Id","TAlt","Cos","Trt","CallSus","Sat","Sig","OpCode","TTrk","Help","VsiT","Stops","ResetTrail","Op","TT","TSecs","GAlt","To","Tisb","IsTisb","Brng","Man","Engines","Cot","Spd","Mil","EngMount","Long","Reg"
"False","05/10/2018 13:32:27","0","3","0","50.289322","30","0","False","1538746360404","05/10/2018 14:32:42","France","0","CTM","448","0","","3B77FC","1","36000","1","1987","3","Airbus A310 304","False","False","False","","","military","1764","0","False","False","21","A310","6","422","False","3897340","0",,"2","False","False","0","","0","False","1",,"False","French Air Force","","18","36021","","False","False","168","Airbus","2",,"475","True","0","-3.13479","F-RADB"
"False","05/10/2018 13:27:54","0","2","0","52.69569","30","0","False","1538746322833","05/10/2018 14:32:42","United Kingdom","0","RAF","210","-128","","43C8F7","1","1250","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","SYS57","military","7422","0","False","False","339","EC35","26","2038","False","4442359","0",,"5","False","False","0","","0","False","0",,"False","Royal Air Force","","290","1241","","False","False","144","Airbus Helicopters","2",,"104","True","0","-2.555106","ZM529"
"False","05/10/2018 13:27:52","0","2","0","53.862301","30","0","False","1538746361861","05/10/2018 14:32:42","United Kingdom","0","","184","64","","43EBCC","1","650","1","2017","1","DAHER-SOCATA TBM 930","False","False","False","","","military","0","0","False","False","318","TBM9","107","1182","False","4451276","0",,"2","False","False","0","","0","False","0",,"False","Corporate","","293","671","","False","False","102","DAHER-SOCATA","1",,"70","True","0","-1.65501","2-TBMI"
"False","05/10/2018 13:27:51","0","3","0","53.564209","30","0","False","1538746364726","05/10/2018 14:32:42","United Kingdom","0","RAF","275","320","","43C8D8","1","1125","1","2017","1","Embraer EMB-500 Phenom 100","False","False","False","","","military","0","0","False","False","204","E50P","116","50000386","False","4442328","4896",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","294","1146","","False","False","104","Embraer","2",,"186","True","0","-0.35713","ZM337"
"False","05/10/2018 13:27:47","0","3","0","52.970069","30","0","False","1538746360062","05/10/2018 14:32:42","United Kingdom","0","","145","0","","43C560","1","12000","1","2009","2","British Aerospace Hawk T.2","False","False","False","","","military","0","0","True","True","289","HAWK","118","RT020","False","4441440","0",,"2","False","False","37","","0","False","0",,"False","Royal Air Force","","298","12050","","False","False","193","British Aerospace","1",,"0","True","0","-4.89182","ZK029"
"False","05/10/2018 13:27:47","0","3","0","56.659055","30","0","False","1538746203774","05/10/2018 14:32:42","United States","0","RCH","271","0","","AE04D0","1","0","1","0","3","Boeing KC-135R","False","True","False","","","military","554","0","False","True","323","K35R","120","18549","False","11404496","0",,"2","False","False","0","","0","False","0",,"False","United States Air Force","","298","0","","False","False","7","Boeing","4",,"0","True","0","-3.867896","62-3566"
"False","05/10/2018 13:27:47","0","3","514","52.997069","30","0","False","1538746334589","05/10/2018 14:32:42","United Kingdom","1024","","142","0","","43C556","1","11975","1","2008","2","British Aerospace Hawk T.2","False","False","True","","","military","0","0","True","True","290","HAWK","115","RT010","False","4441430","0",,"2","False","False","26","","0","False","0",,"False","Royal Air Force","","298","12025","","False","False","193","British Aerospace","1",,"0","True","0","-4.87895","ZK019"
"False","05/10/2018 13:27:47","0","1","0","51.953934","30","0","False","1538746364519","05/10/2018 14:32:42","United Kingdom","0","","259","0","","43EC55","1","0","1","2013","1","Cirrus SR22T Platinum","False","False","False","","","military","0","0","True","False","273","S22T","129","0701","False","4451413","0",,"2","False","False","30","","0","False","0",,"False","Private","","298","0","","False","False","169","Cirrus","1",,"158","True","0","-3.657913","2-RORO"
"False","05/10/2018 13:27:46","0","2","0","52.975113","30","0","False","1538746364488","05/10/2018 14:32:42","United Kingdom","0","RAF","176","640","","43C8F8","1","6025","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","","military","0","0","True","False","168","EC35","128","2040","False","4442360","0",,"2","False","False","99","","0","False","0",,"False","Royal Air Force","","298","6016","","False","False","142","Airbus Helicopters","2",,"66","True","0","-2.790222","ZM530"
"False","05/10/2018 13:27:46","0","3","0","52.075382","30","0","False","1538746140159","05/10/2018 14:32:42","United States","0","USAF","324","0","","AE145F","1","0","1","2007","3","Boeing C-17A Globemaster III","False","True","False","","","military","0","0","False","True","241","C17","117","P161","False","11408479","0",,"2","False","False","0","","0","False","0",,"False","United States Air Force","","298","0","","False","False","137","Boeing","4",,"0","True","0","-1.134495","06-6161"
